"","PC1","PC2","PC3"
"anomalia_xco2",-0.0365815453260674,0.0123586071086594,-0.95878949668742
"anomalia_xch4",0.0675924378776328,-0.786021996945322,-0.115845655701771
"desmatamento",0.175850179399954,-0.53372520490633,-0.171953973132311
"vento",0.34765478161485,0.764954973231967,-0.167922242898864
"lai",0.678400051676923,-0.490335496217063,-0.0153837507487107
"precipitacao",0.839634217570904,-0.0438074326657751,0.16138806281687
"fpar",0.874309094434308,-0.187823732542927,0.0251391353462713
"radiacao",0.912735582712975,0.270955569625703,-0.127007906756697
"umidade",0.950081471356482,0.036095230828119,0.0802091816338189
"pressao",0.952493607661378,0.140194433778683,-0.0482493549492924
