"","PC1","PC2","PC3"
"anomalia_xco2",0.145904987467335,-0.50205103089764,0.585293639291305
"desmatamento",0.17026800054947,-0.426036840759123,-0.403026134671604
"vento",0.195242811404943,0.815502230565255,0.128561789192525
"anomalia_xch4",0.515800488933951,-0.474821721295707,0.330850174308378
"lai",0.687388468821119,-0.35663822124479,-0.429867948432217
"precipitacao",0.806560139367649,-0.259266192181609,0.210165468341384
"fpar",0.818160073703574,-0.0148386693809726,-0.376904977024625
"radiacao",0.882640671271517,0.408977714075811,0.114727150795797
"pressao",0.916396598679121,0.299466986057741,0.0620212081962333
"umidade",0.94156503497837,0.0663542167732512,0.0676710109227604
