"","PC1","PC2","PC3"
"anomalia_xco2",-0.0289853934103318,-0.171585441779056,0.912403009436274
"desmatamento",-0.20961978900591,-0.622529747175712,0.110788750876527
"anomalia_xch4",-0.233591982879629,-0.601923456188729,-0.480070568357359
"vento",-0.328006580593034,0.790021623135234,-0.0442393255155355
"lai",-0.711383534934556,-0.394389135212051,0.0912654627627863
"precipitacao",-0.857611410444077,-0.142530605447704,0.0376655753262955
"fpar",-0.891992205989425,-0.0998967980689299,-0.00968635377519387
"radiacao",-0.917778655583425,0.313160741626784,0.0635740619406997
"pressao",-0.951573173133871,0.185029036130703,-0.0329577679071747
"umidade",-0.958092965096059,0.0473485292610997,-0.0402786182853167
