"","PC1","PC2","PC3"
"anomalia_xco2",-0.0306210861663109,0.284811750467506,0.91882301431018
"desmatamento",-0.159997142229547,0.446732185866334,-0.254899110273456
"anomalia_xch4",-0.190250595651506,0.79525588836022,0.0934338461941151
"vento",-0.219888260504145,-0.802064844077954,0.0695353958388403
"lai",-0.619560072484052,0.530361835726506,-0.151216640006586
"fpar",-0.801545735351363,0.232006299955451,-0.154199101695242
"precipitacao",-0.839618091930262,0.0580156609830709,0.0609352206121484
"radiacao",-0.892082968728776,-0.322094530367926,0.158255308822385
"umidade",-0.923430403637494,-0.156622303864803,-0.0508426626544799
"pressao",-0.938232164592412,-0.198704779559068,0.0548668189491581
