"","PC1","PC2","PC3"
"anomalia_xco2",0.00299665206199216,0.569808162527056,-0.584510334788278
"anomalia_xch4",-0.0980891430528923,0.697472134756699,-0.39380825887142
"vento",-0.294784981342544,-0.739147507686555,-0.361493605641638
"lai",-0.623061487323702,0.54549535616672,0.416794039251158
"precipitacao",-0.828555531807049,-0.080318514292068,0.179896985350456
"fpar",-0.847793546294792,0.21588537946634,0.289991869091325
"radiacao",-0.891430870350271,-0.119319117631403,-0.348524414287134
"umidade",-0.948109109069109,-0.0977755043360068,-0.00953431562522562
"pressao",-0.950156751091222,-0.111671870663998,-0.201473674160673
