"","PC1","PC2","PC3"
"anomalia_xco2",0.00418429314563411,-0.306901398755978,-0.831810904539831
"desmatamento",-0.135272226346954,-0.516654250126897,0.241127534551485
"anomalia_xch4",-0.15372822334667,-0.688314663322039,-0.465752434254483
"vento",-0.298771722417211,0.741602651956567,-0.226328794284097
"lai",-0.631783015006585,-0.547035390807293,0.279970720151732
"fpar",-0.831050135679455,-0.216069464968933,0.296040680803554
"precipitacao",-0.838898590678907,0.0669545121774139,-0.0730696988348663
"radiacao",-0.917629966276571,0.249361550190556,-0.19279542154761
"pressao",-0.954870346974556,0.155124042581514,-0.0863840155955323
"umidade",-0.95502311287701,0.0470224173638151,0.000957677023121224
