"","year","state","city_ref","precipitacao","pressao","radiacao","sif_757","temperatura","umidade","vento","xch4","xco2","area_queimada","desmatamento","media_fpar","media_lai","media_evi","media_ndvi","media_et","emissao_Agricultura","emissao_Florestas e Uso da Terra","emissao_Manufatura","emissao_Transporte","emissao_Resíduos","emissao_Energia","emissao_Extração Mineral","emissao_Produção de cimento","emissao_Queimadas em áreas agrícolas","emissao_Aviação doméstica","emissao_Fermentação entérica – gado a pasto","emissao_Forest land clearing.x","emissao_Forest land degradation.x","emissao_Forest land fires.x","emissao_Aviação internacional","emissao_Esterco deixado no pasto (gado)","emissao_Remoções de carbono (sequestro)","emissao_Queimadas em áreas arbustivas.x","emissao_Resíduoswater-treatment-and-discharge.x","emissao_Reservatórios de água","emissao_Wetland fires.x","emissao_Fermentação entérica – gado confinado","emissao_Manejo de esterco – gado confinado","emissao_Produção de papel e celulose","emissao_Uso líquido de terras florestais","emissao_Uso líquido de áreas arbustivas e gramíneas","emissao_Uso líquido de áreas úmidas","emissao_Navegação doméstica","emissao_Navegação internacional","emissao_Geração de eletricidade","emissao_Mineração de cobre","emissao_Mineração de bauxita","emissao_Mineração de ferro","emissao_Edificações","emissao_Aplicação de fertilizantes sintéticos","emissao_Cultivo de arroz","emissao_Esterco aplicado ao solo","emissao_Resíduos de culturas agrícolas","emissao_Transporte rodoviário","emissao_Uso de combustível em edificações não residenciais","emissao_Uso de combustível em edificações residenciais","emissao_Disposição de resíduos sólidos","emissao_Tratamento e descarte de esgoto doméstico","emissao_Indústria têxtil, couro e vestuário","emissao_Tratamento e descarte de efluentes industriais","emissao_Indústria química","emissao_Forest land clearing.y","emissao_Forest land degradation.y","emissao_Forest land fires.y","emissao_Queimadas em áreas arbustivas.y","emissao_Resíduoswater-treatment-and-discharge.y","emissao_Wetland fires.y"
"1",2015,"DF","brasilia",2.62272188804073,90.7043321973038,20.4776594036327,0.149584100528389,23.1359670668714,65.3955855788912,1.48497414709559,1805.86220806847,398.191119268634,NA,0.110763873757413,0.445405701754386,1.28750001154971,0.303624561403509,0.514993201754386,NA,713634.279243635,-4483.72853514661,1958384,1333193.45421502,152561.568535664,NA,NA,1958384,376807.525246972,1098978.15546282,261546.374491011,212107.667330506,3509.28799920856,71549.3633068036,234215.298752198,75280.3795056518,-587248.248937314,248704.093373064,152561.568535664,46286.4902128,607.618179785246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2015,"GO","abadia de goias",3.2824920996985,93.2608392236387,20.0550876773795,0.331119855244954,24.4016255497862,67.3277212467923,1.82089710994428,1808.2146484375,399.156912370162,NA,0.00190546326310937,0.501979166666667,1.41527779027778,0.362035416666667,0.566716666666667,NA,17736.3348625626,-285.737537120211,NA,NA,167.654718659113,NA,NA,NA,874.784666603789,NA,13093.0137506719,4860.08989349993,8.99998723490694,552.51840593724,NA,3768.53644528687,-6406.35645109535,699.010627303062,167.654718659113,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2015,"GO","abadiania",2.83617891040848,90.6415207233753,20.1115243656567,0.210293858550316,23.1749609623002,65.0547828703418,1.95823489685651,1807.64813456501,400.560835655264,NA,0.0590870043347525,0.526805555555556,1.71597224236111,0.3043625,0.4938875,NA,125072.297214144,-346.546536895681,NA,NA,411.367431636751,NA,NA,NA,17843.5250748005,NA,83263.2688540952,91750.2006371751,67.7148728799637,1404.72423392731,NA,23965.5032852483,-98498.2802138434,4890.209789136,411.367431636751,NA,38.8841438293457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2015,"GO","acreuna",3.33458822800361,94.3726393470586,19.7702404072255,0.214313065784604,24.7361244611123,69.1043379638334,1.59579881424486,1810.23192489579,398.770930152081,NA,0.0293582487945739,0.479618055555556,1.34583334357639,0.310904166666667,0.533702083333333,NA,447562.176602866,-12889.3505300032,NA,NA,306.208394689185,NA,NA,NA,258813.033803066,NA,144440.590974596,10807.2354475268,83.1993821746961,2965.9565750254,NA,41574.0518252045,-45206.1777687296,17866.6997600574,306.208394689185,NA,593.736073942094,2683.9,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2015,"GO","alexania",2.83617891040848,91.2892510035849,20.1115243656567,0.168572425842285,23.5908424698282,64.8340752664334,1.91080642422725,1806.62182138947,400.560835655264,NA,0.100654332555916,0.537465277777778,1.75937502222222,0.346858333333333,0.543522916666667,NA,102019.608640482,-141.719647841693,NA,NA,NA,NA,NA,NA,10567.4615999558,NA,71012.7007558998,35126.9394837078,536.823886122759,1016.47831587301,NA,20439.4462846258,-38758.1906253933,1826.71663525671,NA,NA,109.512656591326,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2015,"GO","aloandia",3.06131270320146,94.0057816505617,20.0157584431321,0.406987190246582,24.6241327374175,67.5774887289089,1.79559526999899,1812.11460248162,398.827554861705,NA,0.00146438380405627,0.565347222222222,1.93888892083333,0.392570833333333,0.602033333333333,NA,17743.4320580725,81.4754950618397,NA,NA,NA,NA,NA,NA,3162.73908157155,NA,11321.9253218557,98.9659481791041,1.18667291104794,264.311579841833,NA,3258.76765464526,-1091.70352110441,785.06493965442,NA,NA,23.6498755798446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2015,"GO","alto horizonte",2.83755597490546,95.6957622125692,20.4880211486809,0.239072030590427,27.2165726711108,60.8047215500139,1.78408510293556,1807.13140544513,399.889635358538,NA,0.0779299188255007,0.464236111111111,1.44583334895833,0.422452083333333,0.61650833125,NA,62296.7205885515,-124.012632600941,NA,NA,NA,NA,NA,NA,3401.75499831233,NA,45732.010482708,38628.5126624085,17.5457878626426,122.024639699881,NA,13162.9551075312,-40050.0373041491,1157.94158157713,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2015,"GO","alto paraiso de goias",2.1573294408667,94.4312850999975,20.9531675330491,0.123226165771484,26.397295205387,56.9316830111271,1.82381038571279,1804.38394406798,397.79129614871,NA,0.174420461287956,0.351527777777778,0.940972231944444,0.208058333333333,0.439895833333333,NA,110134.038678473,-59399.7542630385,NA,NA,NA,NA,NA,NA,10512.2298908611,NA,77356.4529055132,46575.3002582258,556.630587703367,26056.8368205437,NA,22265.3558820984,-219320.497822315,86716.6869414875,NA,NA,15.2889513161183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2015,"GO","alvorada do norte",2.11355928808963,93.5758264125071,20.9531675330491,0.118771059067952,25.6023226435005,55.9640495659496,1.39841405771078,1803.27469386759,397.892517238334,NA,0.206654548155556,0.420347222222222,1.16458334513889,0.275033333333333,0.481929166666667,NA,121129.323760853,-13065.9198561892,NA,NA,NA,NA,NA,NA,10225.5038692392,NA,86116.9480645385,35936.9171865493,59.4063443142519,59051.771874585,NA,24786.8718270754,-171062.969553201,62866.3961662956,NA,NA,82.5581252676892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015,"GO","amaralina",2.71590448845626,97.1610606317325,20.5241080039347,0.185568922370143,27.9564625660959,59.0170804234743,1.73574748742847,1806.7793193392,398.973081201539,NA,0.260748533013827,0.637986111111111,2.27291669444444,0.4572125,0.731679166666667,NA,13690.8128386602,537.137775232586,NA,NA,NA,NA,NA,NA,1199.01735597548,NA,9699.89403597771,192541.724974358,67.3232586539046,6009.92190853128,NA,2791.90144670705,-210300.63495505,12218.8025887394,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
